Cluster,Title
0,"PENGARUH PENGGUNAAN MODEL SAMR (SUBTITUTION, AUGMENTATION, MODIFICATION AND REDEFINITION) TERHADAP KEMAMPUAN BERPIKIR KRITIS SISWA PADA MATA PELAJARAN PEMROGRAMAN DASAR KELAS X MULTIMEDIA SMK BATIK 2 SURAKARTA"
0,"PENGARUH PENGGUNAAN MODEL SAMR (SUBTITUTION, AUGMENTATION, MODIFICATION AND REDEFINITION) TERHADAP KEMAMPUAN BERPIKIR KRITIS SISWA PADA MATA PELAJARAN PEMROGRAMAN DASAR KELAS X MULTIMEDIA SMK BATIK 2 SURAKARTA"
0,Analisis kesiapan pembelajaran pemrograman pada siswa Madrasah Tsanawiyah Negeri Surakarta 1 berdasarkan kemampuan berpikir komputasi
0,Analisis kesiapan pembelajaran pemrograman pada siswa Madrasah Tsanawiyah Negeri Surakarta 1 berdasarkan kemampuan berpikir komputasi
1,Eksperimentasi Discovery Learning dan Project Based Learning Kombinasi College Ball ditinjau dari Minat pada Materi Kontrol Percabangan Kelas X SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
1,Pengaruh Computer Literacy  dan  Intensitas  Penggunaan  Website Sebagai  Media  Informasi   Terhadap  Minat  Mencari  Kerja  pada  Siswa  Kelas XII di Sekolah Menengah Kejuruan Kabupaten Wonogiri  Tahun Pelajaran 2015/2016
1,Eksperimentasi Discovery Learning dan Project Based Learning Kombinasi College Ball ditinjau dari Minat pada Materi Kontrol Percabangan Kelas X SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
1,Pengaruh persepsi siswa mengenai kompetensi guru terhadap prestasi belajar siswa pada mata pelajaran sistem komputer di smk negeri 1 Banyudono
1,Pengaruh persepsi siswa mengenai kompetensi guru terhadap prestasi belajar siswa pada mata pelajaran sistem komputer di smk negeri 1 Banyudono
1,Pengaruh Computer Literacy  dan  Intensitas  Penggunaan  Website Sebagai  Media  Informasi   Terhadap  Minat  Mencari  Kerja  pada  Siswa  Kelas XII di Sekolah Menengah Kejuruan Kabupaten Wonogiri  Tahun Pelajaran 2015/2016
2,Efektivitas Penggunaan E-Learning Berbasis Schoology dengan Menggunakan Model Discovery Learning Terhadap Prestasi Belajar Siswa pada Mata Pelajaran Sistem Komputer Kelas X Multimedia SMK Negeri 6 Surakarta pada Tahun Pelajaran 2015/2016
2,Perbandingan antara model pembelajaran flipped classroom berbantuan edmodo dengan pembelajaran konvensional terhadap hasil belajar sistem operasi  (eksperimen kelas x smk 1 Banyudono) 
2,Pengaruh Model Pembelajaran Blended Learning Dengan Strategi Flipped ClassroomTerhadap Kemandirian Dan Hasil Belajar Pada Mata Pelajaran Simulasi Digital Siswa Kelas X Di SMK Negeri 1 Gondang
2,Studi Komparasi Antara Model Pembelajaran Konvensional dengan Model Ubiquitous Learning (U-Learning) Terhadap Prestasi Belajar Ditinjau dari Motivasi Belajar Siswa pada Mata Pelajaran Simulasi dan Komunikasi Digital Kelas X SMK Yapek Gombong
2,Pengaruh penerapan model pembelajaran cooperative learning tipe teams games tournament (TGT) berbantuan aplikasi quizizz terhadap hasil belajar ditinjau dari motivasi belajar pada mata pelajaran simulasi digital
2,Perbedaan Prestasi Belajar Ditinjau dari Gaya Belajar pada Penerapan Model Pembelajaran Kooperatif Tipe Think Talk Write (TTW) di SMK Negeri 1 Sawit
2,Studi Komparasi Antara Model Pembelajaran Konvensional dengan Model Ubiquitous Learning (U-Learning) Terhadap Prestasi Belajar Ditinjau dari Motivasi Belajar Siswa pada Mata Pelajaran Simulasi dan Komunikasi Digital Kelas X SMK Yapek Gombong
2,Pengaruh penerapan model pembelajaran cooperative learning tipe teams games tournament (TGT) berbantuan aplikasi quizizz terhadap hasil belajar ditinjau dari motivasi belajar pada mata pelajaran simulasi digital
2,Perbandingan antara model pembelajaran flipped classroom berbantuan edmodo dengan pembelajaran konvensional terhadap hasil belajar sistem operasi  (eksperimen kelas x smk 1 Banyudono) 
2,Pengaruh Model Pembelajaran Blended Learning Dengan Strategi Flipped ClassroomTerhadap Kemandirian Dan Hasil Belajar Pada Mata Pelajaran Simulasi Digital Siswa Kelas X Di SMK Negeri 1 Gondang
2,Efektivitas Penggunaan E-Learning Berbasis Schoology dengan Menggunakan Model Discovery Learning Terhadap Prestasi Belajar Siswa pada Mata Pelajaran Sistem Komputer Kelas X Multimedia SMK Negeri 6 Surakarta pada Tahun Pelajaran 2015/2016
2,Perbedaan Prestasi Belajar Ditinjau dari Gaya Belajar pada Penerapan Model Pembelajaran Kooperatif Tipe Think Talk Write (TTW) di SMK Negeri 1 Sawit
3,"Integrasi STEAM (Science, Technology, Engineering, Art, Mathematics) dengan Kompetensi Dasar Mata Pelajaran Desain Grafis Menggunakan Pendekatan Konstruktivisme pada Siswa SMK"
3,Evaluasi Sistem Monitoring pada Perangkat Drip Irrigation System untuk Pembelajaran Internet of Things
3,Rancang Bangun Laboratorium Virtual Berbasis Private Cloud Dengan Model Layanan IAAS Sebagai Media Praktikum Jaringan Komputer
3,Tinjauan Pengaruh Game-Based Learning Terhadap Perkembangan Computational Thinking Skills dari Perspektif Teori Brennan & Resnick
3,Tinjauan Pengaruh Game-Based Learning Terhadap Perkembangan Computational Thinking Skills dari Perspektif Teori Brennan & Resnick
3,Pengaruh Penggunaan Smartphone dan Intensitas Bermain Game Terhadap Hasil Belajar Kognitif   Siswa Kelas X SMK Negeri 1 Sukoharjo
3,Pengaruh Penggunaan Smartphone dan Intensitas Bermain Game Terhadap Hasil Belajar Kognitif   Siswa Kelas X SMK Negeri 1 Sukoharjo
3,"Integrasi STEAM (Science, Technology, Engineering, Art, Mathematics) dengan Kompetensi Dasar Mata Pelajaran Desain Grafis Menggunakan Pendekatan Konstruktivisme pada Siswa SMK"
3,Evaluasi Sistem Monitoring pada Perangkat Drip Irrigation System untuk Pembelajaran Internet of Things
3,Rancang Bangun Laboratorium Virtual Berbasis Private Cloud Dengan Model Layanan IAAS Sebagai Media Praktikum Jaringan Komputer
4,Pengembangan Sistem Informasi Administrasi Program Studi Berbasis Web pada Program Pascasarjana  FKIP UNS   
4, Pengembangan sistem informasi manajemen kegiatan pembelajaran berbasis web untuk sekolah haji dan umroh  Baitullah Rubaiyat
4,Pengembangan Sistem Informasi Administrasi Program Studi Berbasis Web pada Program Pascasarjana  FKIP UNS   
4, Pengembangan sistem informasi manajemen kegiatan pembelajaran berbasis web untuk sekolah haji dan umroh  Baitullah Rubaiyat
4,Pengembangan Sistem Informasi Akademik Berbasis Web Sebagai Sistem Pengolahan Nilai Siswa di SMK Negeri 1 Kudus
4,Pengembangan Sistem Informasi Akademik Berbasis Web Sebagai Sistem Pengolahan Nilai Siswa di SMK Negeri 1 Kudus
5,Upaya Meningkatkan Hasil Belajar dan Keaktifan Siswa Melalui Model Pembelajaran Blended Learning dengan Berbantukan Edmodo Mada Mata Pelajaran Teknologi Layanan Jaringan Kelas XI TKJ 2 di SMK Negeri 1 Banyudono
5,Upaya Peningkatan Kompetensi Diagnosis Jaringan  Melalui Pendekatan Contextual Teaching and Learning (Ctl) dengan Metode Simulasi Menggunakan Software Packet Tracer pada Siswa Kelas XI di SMK N 1 Sawit
5,Penerapan Model Pembelajaran Sq6r  Untuk Meningkatkan Pemahaman Algoritma Pada Mata Pelajaran Pemrograman Dasar Di Kelas X Tkj 1 Smk Negeri 1 Sawit Boyolali
5,Penerapan Model Pembelajaran Sq6r  Untuk Meningkatkan Pemahaman Algoritma Pada Mata Pelajaran Pemrograman Dasar Di Kelas X Tkj 1 Smk Negeri 1 Sawit Boyolali
5,Upaya Meningkatkan Hasil Belajar dan Keaktifan Siswa Melalui Model Pembelajaran Blended Learning dengan Berbantukan Edmodo Mada Mata Pelajaran Teknologi Layanan Jaringan Kelas XI TKJ 2 di SMK Negeri 1 Banyudono
5,Upaya peningkatan pemahaman konsep dasar algoritma pemrograman menggunakan aplikasi robomind melalui model problem based learning pada mata pelajaran pemrograman dasar siswa kelas x tkj 1 smk n 1 Banyudono
5,Penerapan Project Based Learning untuk Meningkatkan Aktivitas dan Kompetensi Instalasi Sistem Operasi Berbasis GUI dan CLI pada Siswa Kelas X TKJ di SMK N 1 Sawit
5,Peningkatan Kompetensi Peserta Didik pada Mata Pelajaran Pemrograman Dasar Menggunakan Model Kooperatif Tipe Stad Berlatar Musik Klasik Kelas X Multimedia 1 SMK Negeri 3 Surakarta
5,Penerapan Model Pembelajaran Kooperatif Tipe STAD untuk Meningkatkan Hasil Belajar Peserta Didik   pada Mata Pelajaran Pemrograman Web  Kelas X RPL A di SMKN 2 Karanganyar
5,Penerapan Simulator Cisco Packet Tracer dengan Model Pembelajaran Teams Games Tournament  untuk Meningkatkan Hasil Belajar dan Keaktifan Jaringan Dasar Kelas X TKJ  SMK Negeri 1 Banyudono
5,Penerapan Simulator Cisco Packet Tracer dengan Model Pembelajaran Teams Games Tournament  untuk Meningkatkan Hasil Belajar dan Keaktifan Jaringan Dasar Kelas X TKJ  SMK Negeri 1 Banyudono
5,Upaya Peningkatan Kompetensi Diagnosis Jaringan  Melalui Pendekatan Contextual Teaching and Learning (Ctl) dengan Metode Simulasi Menggunakan Software Packet Tracer pada Siswa Kelas XI di SMK N 1 Sawit
5,Penerapan model pembelajaran project based learning (pbl) pada mata pelajaran pemrograman desktop untuk meningkatkan hasil belajar peserta didik kelas xi rpl b smk negeri 2 Karanganyar
5,Penerapan model pembelajaran project based learning (pbl) pada mata pelajaran pemrograman desktop untuk meningkatkan hasil belajar peserta didik kelas xi rpl b smk negeri 2 Karanganyar
5,Penerapan Model Pembelajaran Kooperatif Tipe STAD untuk Meningkatkan Hasil Belajar Peserta Didik   pada Mata Pelajaran Pemrograman Web  Kelas X RPL A di SMKN 2 Karanganyar
5,Peningkatan Kompetensi Peserta Didik pada Mata Pelajaran Pemrograman Dasar Menggunakan Model Kooperatif Tipe Stad Berlatar Musik Klasik Kelas X Multimedia 1 SMK Negeri 3 Surakarta
5,Upaya peningkatan pemahaman konsep dasar algoritma pemrograman menggunakan aplikasi robomind melalui model problem based learning pada mata pelajaran pemrograman dasar siswa kelas x tkj 1 smk n 1 Banyudono
5,Penerapan Project Based Learning untuk Meningkatkan Aktivitas dan Kompetensi Instalasi Sistem Operasi Berbasis GUI dan CLI pada Siswa Kelas X TKJ di SMK N 1 Sawit
6,Pengembangan Media Pembelajaran Video Tutorial pada Mata Pelajaran Sistem Operasi Kelas X Multimedia SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
6,Pembuatan Media Pembelajaran Interaktif Berbasis Web dengan Menggunakan Html5 pada Materi Subnetting Kelas X Tkj Smk Taruna Kradenan
6,Pengembangan Media Pembelajaran Video Tutorial pada Mata Pelajaran Sistem Operasi Kelas X Multimedia SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
6,"Pengembangan Media Pembelajaran Berbasis Android, “English for Disability” pada Materi Grammar & Speaking English Untuk Siswa Kelas VII Tunanetra SMPLB YKAB Surakarta"
6,Pengembangan Aplikasi Media Pembelajaran untuk Pembelajaran Bahasa Isyarat Berbasis Android
6,Pembuatan Media Pembelajaran Interaktif Berbasis Web dengan Menggunakan Html5 pada Materi Subnetting Kelas X Tkj Smk Taruna Kradenan
6,Pengembangan Aplikasi Media Pembelajaran untuk Pembelajaran Bahasa Isyarat Berbasis Android
6,"Pengembangan Media Pembelajaran Berbasis Android, “English for Disability” pada Materi Grammar & Speaking English Untuk Siswa Kelas VII Tunanetra SMPLB YKAB Surakarta"
7,Pembuatan Aplikasi Web Berbasis SMS Sebagai Media Penyalur Informasi dan Komunikasi Antara Sekolah dengan Orang Tua Siswa
7,Rancang Bangun Aplikasi Pembuatan Laporan Praktikum  Berbasis Web pada SMK
7,Rancang Bangun Aplikasi Pembuatan Laporan Praktikum  Berbasis Web pada SMK
7,Pembuatan Aplikasi Web Berbasis SMS Sebagai Media Penyalur Informasi dan Komunikasi Antara Sekolah dengan Orang Tua Siswa
8,Studi Evaluasi Terhadap Game Edukatif untuk Pendidikan SD (Kelas Rendah) Dalam Pembelajaran Berhitung Ditinjau dari Aspek Gamifikasi dan Kurikulum
8,Studi Evaluasi Terhadap Game Edukatif untuk Pendidikan SD (Kelas Rendah) Dalam Pembelajaran Berhitung Ditinjau dari Aspek Gamifikasi dan Kurikulum
8,Analisis Cluster untuk Pengelompokan Mahasiswa Berdasarkan Index of Learning Styles dengan Metode Hierarchical Clustering
8,Analisis Cluster untuk Pengelompokan Mahasiswa Berdasarkan Index of Learning Styles dengan Metode Hierarchical Clustering
9,Pengembangan Media Pembelajaran Interaktif pada Mata Kuliah Teknik Animasi 3 Dimensi di PTIK UNS dengan Menggunakan Java Netbeans
9,Pengembangan job sheet interaktif menggunakan aplikasi berbasis   komputer pada materi perawatan pc di kelas x tkj  smk negeri 1 Sawit 
9,Pengembangan Modul Interaktif Berbasis Adobe Flash pada Kompetensi Dasar Pengolah Simulasi Visual  Tahap Pasca Produksi Kelas X Akuntansi 3                           SMK Negeri 6 Surakarta
9,Pengembangan Modul Interaktif Berbasis Adobe Flash pada Kompetensi Dasar Pengolah Simulasi Visual  Tahap Pasca Produksi Kelas X Akuntansi 3                           SMK Negeri 6 Surakarta
9,Pengembangan Media Pembelajaran Interaktif pada Mata Kuliah Teknik Animasi 3 Dimensi di PTIK UNS dengan Menggunakan Java Netbeans
9,Pengembangan job sheet interaktif menggunakan aplikasi berbasis   komputer pada materi perawatan pc di kelas x tkj  smk negeri 1 Sawit 
